Name,Category,Availability,Quantity,UPC,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,URL
Sharp Objects,Mystery,In Stock,20,e00eb4fd7b871a48,47.82,47.82,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../sharp-objects_997/index.html,
In a Dark  Dark Wood,Mystery,In Stock,18,19ed25f4641d5efd,19.63,19.63,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../in-a-dark-dark-wood_963/index.html,
The Past Never Ends,Mystery,In Stock,16,5ee94540d0749ea0,56.5,56.5,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../the-past-never-ends_942/index.html,
A Murder in Time,Mystery,In Stock,16,f733e8c19d40ec2e,16.64,16.64,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../a-murder-in-time_877/index.html,
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,In Stock,15,c7b5183f4d1d4efe,44.1,44.1,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,
The Last Mile (Amos Decker #2),Mystery,In Stock,14,3bc89353f7e3a3cc,54.21,54.21,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../the-last-mile-amos-decker-2_754/index.html,
That Darkness (Gardiner and Renner #1),Mystery,In Stock,14,0c7b9cf2b7662b65,13.92,13.92,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../that-darkness-gardiner-and-renner-1_743/index.html,
Tastes Like Fear (DI Marnie Rome #3),Mystery,In Stock,14,2d1e337aaf341858,10.69,10.69,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../tastes-like-fear-di-marnie-rome-3_742/index.html,
A Time of Torment (Charlie Parker #14),Mystery,In Stock,14,4416c474713ec1f5,48.35,48.35,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../a-time-of-torment-charlie-parker-14_657/index.html,
A Study in Scarlet (Sherlock Holmes #1),Mystery,In Stock,14,63ee5bc46066a8a8,16.73,16.73,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../a-study-in-scarlet-sherlock-holmes-1_656/index.html,
Poisonous (Max Revere Novels #3),Mystery,In Stock,12,abdd91e96515a617,26.8,26.8,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../poisonous-max-revere-novels-3_627/index.html,
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,In Stock,12,e7fe3bf2768602cf,54.36,54.36,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,
Most Wanted,Mystery,In Stock,12,c039f5aceb093537,35.28,35.28,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../most-wanted_623/index.html,
Hide Away (Eve Duncan #20),Mystery,In Stock,12,bddc6fd036eb6279,11.84,11.84,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../hide-away-eve-duncan-20_620/index.html,
Boar Island (Anna Pigeon #19),Mystery,In Stock,12,49b24c6a41b82bd2,59.48,59.48,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../boar-island-anna-pigeon-19_613/index.html,
The Widow,Mystery,In Stock,11,6159d8b187831770,27.26,27.26,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../the-widow_609/index.html,
Playing with Fire,Mystery,In Stock,11,05a61a3bd8ca4149,13.71,13.71,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../playing-with-fire_602/index.html,
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,In Stock,7,9735c969c652dd89,25.37,25.37,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,In Stock,7,20789fb17b423c4c,52.3,52.3,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,In Stock,7,4e980425468708da,20.89,20.89,0.0,0,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html/../../../../delivering-the-truth-quaker-midwife-mystery-1_464/index.html,
Tipping the Velvet,Historical Fiction,In Stock,20,90fa61229261140a,53.74,53.74,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../tipping-the-velvet_999/index.html,
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,In Stock,16,9beb96a2300109d7,29.69,29.69,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,
A Flight of Arrows (The Pathfinders #2),Historical Fiction,In Stock,16,3a6fb983e2554023,55.53,55.53,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../a-flight-of-arrows-the-pathfinders-2_876/index.html,
The House by the Lake,Historical Fiction,In Stock,15,9287e238d7c3b06e,36.95,36.95,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-house-by-the-lake_846/index.html,
Mrs. Houdini,Historical Fiction,In Stock,15,a40723994f715420,30.25,30.25,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../mrs-houdini_821/index.html,
The Marriage of Opposites,Historical Fiction,In Stock,14,52cf2a5933ec5d8f,28.08,28.08,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-marriage-of-opposites_759/index.html,
Glory over Everything: Beyond The Kitchen House,Historical Fiction,In Stock,14,de4b403cb629a29f,45.84,45.84,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../glory-over-everything-beyond-the-kitchen-house_696/index.html,
Love  Lies and Spies,Historical Fiction,In Stock,12,9546d537fbf99eb6,20.55,20.55,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../love-lies-and-spies_622/index.html,
A Paris Apartment,Historical Fiction,In Stock,12,63343e287971bb0c,39.01,39.01,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../a-paris-apartment_612/index.html,
Lilac Girls,Historical Fiction,In Stock,11,bade9943ee01b63f,17.28,17.28,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../lilac-girls_597/index.html,
The Constant Princess (The Tudor Court #1),Historical Fiction,In Stock,7,24933c712f0bca2f,16.62,16.62,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-constant-princess-the-tudor-court-1_493/index.html,
The Invention of Wings,Historical Fiction,In Stock,6,e6635f5b0a2c78db,37.34,37.34,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-invention-of-wings_448/index.html,
World Without End (The Pillars of the Earth #2),Historical Fiction,In Stock,5,2e5b4ff08a75fd02,32.97,32.97,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../world-without-end-the-pillars-of-the-earth-2_420/index.html,
The Passion of Dolssa,Historical Fiction,In Stock,4,011674f4a3834b8d,28.32,28.32,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-passion-of-dolssa_351/index.html,
Girl With a Pearl Earring,Historical Fiction,In Stock,4,5eff05e59f905a49,26.77,26.77,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../girl-with-a-pearl-earring_322/index.html,
Voyager (Outlander #3),Historical Fiction,In Stock,3,7feac4000cbc5859,21.07,21.07,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../voyager-outlander-3_299/index.html,
The Red Tent,Historical Fiction,In Stock,3,3c456328b04a8ee8,35.66,35.66,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-red-tent_273/index.html,
The Last Painting of Sara de Vos,Historical Fiction,In Stock,3,476c7972e9b41891,55.55,55.55,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-last-painting-of-sara-de-vos_259/index.html,
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,In Stock,3,4a0a276409968a73,49.53,49.53,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../the-guernsey-literary-and-potato-peel-pie-society_253/index.html,
Girl in the Blue Coat,Historical Fiction,In Stock,3,41fc5dce044f16f5,46.83,46.83,0.0,0,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html/../../../../girl-in-the-blue-coat_160/index.html,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,In Stock,19,3b1c02bac2a429e6,52.29,52.29,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,In Stock,16,09555be379ad9253,16.28,16.28,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,
This One Summer,Sequential Art,In Stock,16,51653ef291ab7ddc,19.49,19.49,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../this-one-summer_947/index.html,
The Nameless City (The Nameless City #1),Sequential Art,In Stock,16,7d385d34d12e60ff,38.16,38.16,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../the-nameless-city-the-nameless-city-1_940/index.html,
Saga  Volume 5 (Saga (Collected Editions) #5),Sequential Art,In Stock,16,53a3d11bb568cc8b,51.04,51.04,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../saga-volume-5-saga-collected-editions-5_923/index.html,
Rat Queens  Vol. 3: Demons (Rat Queens (Collected Editions) #11-15),Sequential Art,In Stock,16,c82a3e358c773c73,50.4,50.4,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,
Princess Jellyfish 2-in-1 Omnibus  Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1),Sequential Art,In Stock,16,0fa6dceead7ce47a,13.61,13.61,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,
Pop Gun War  Volume 1: Gift,Sequential Art,In Stock,16,e80f8e518b300dfe,18.97,18.97,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../pop-gun-war-volume-1-gift_918/index.html,
Patience,Sequential Art,In Stock,16,9429b4d59c537af5,10.16,10.16,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../patience_916/index.html,
Outcast  Vol. 1: A Darkness Surrounds Him (Outcast #1),Sequential Art,In Stock,16,889139b8e9c4cb36,15.44,15.44,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,In Stock,16,11809b1d323b3057,48.41,48.41,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,
Lumberjanes  Vol. 2: Friendship to the Max (Lumberjanes #5-8),Sequential Art,In Stock,16,460089f796fb3f82,46.91,46.91,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,
Lumberjanes  Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4),Sequential Art,In Stock,16,b6ee99bcf06fc91f,45.61,45.61,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,In Stock,16,57e5a4d515c8ce44,19.92,19.92,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,
I Hate Fairyland  Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5),Sequential Art,In Stock,16,8d4eefad7a2b3915,29.17,29.17,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,
I am a Hero Omnibus Volume 1,Sequential Art,In Stock,16,1c89ae5bb804e4de,54.63,54.63,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../i-am-a-hero-omnibus-volume-1_898/index.html,
Giant Days  Vol. 2 (Giant Days #5-8),Sequential Art,In Stock,16,f2df3bb043a8abb0,22.11,22.11,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../giant-days-vol-2-giant-days-5-8_895/index.html,
Danganronpa Volume 1,Sequential Art,In Stock,16,09b6cc87e62c2c58,51.99,51.99,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../danganronpa-volume-1_889/index.html,
Codename Baboushka  Volume 1: The Conclave of Death,Sequential Art,In Stock,16,8754c83ab2a7ae71,36.72,36.72,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../codename-baboushka-volume-1-the-conclave-of-death_887/index.html,
Camp Midnight,Sequential Art,In Stock,16,7b599c8bfcdd8d30,17.08,17.08,0.0,0,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html/../../../../camp-midnight_886/index.html,
The Secret Garden,Classics,In Stock,5,abbb492978ff656d,15.08,15.08,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-secret-garden_413/index.html,
The Metamorphosis,Classics,In Stock,5,93379e3a2072a01b,28.58,28.58,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-metamorphosis_409/index.html,
The Pilgrim's Progress,Classics,In Stock,4,6053ddf69c967d5f,50.26,50.26,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-pilgrims-progress_353/index.html,
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,In Stock,4,6587f46697fc4443,14.82,14.82,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,
Little Women (Little Women #1),Classics,In Stock,4,deda806b68b0aa11,28.07,28.07,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../little-women-little-women-1_331/index.html,
Gone with the Wind,Classics,In Stock,4,23310ce84d3c9f85,32.49,32.49,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../gone-with-the-wind_324/index.html,
Candide,Classics,In Stock,4,2798974abc8a58a8,58.63,58.63,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../candide_316/index.html,
Animal Farm,Classics,In Stock,4,1451b55e5e56bb89,57.22,57.22,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../animal-farm_313/index.html,
Wuthering Heights,Classics,In Stock,3,5a7ff9aaa3168878,17.73,17.73,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../wuthering-heights_307/index.html,
The Picture of Dorian Gray,Classics,In Stock,3,b9f6305a3d650e2c,29.7,29.7,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-picture-of-dorian-gray_270/index.html,
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,In Stock,3,cad70d6ffd53912f,26.78,26.78,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,
Beowulf,Classics,In Stock,3,3fb69f34e178d494,38.35,38.35,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../beowulf_126/index.html,
And Then There Were None,Classics,In Stock,3,cfe350b20d23b02b,35.01,35.01,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../and-then-there-were-none_119/index.html,
The Story of Hong Gildong,Classics,In Stock,1,32d035df92ab9080,43.19,43.19,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-story-of-hong-gildong_84/index.html,
The Little Prince,Classics,In Stock,1,1aeca7d078d57deb,45.42,45.42,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../the-little-prince_72/index.html,
Sense and Sensibility,Classics,In Stock,1,35e44170702139a4,37.46,37.46,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../sense-and-sensibility_49/index.html,
Of Mice and Men,Classics,In Stock,1,39592d9d72e717c4,47.11,47.11,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../of-mice-and-men_37/index.html,
Emma,Classics,In Stock,1,2e69730561ed70ad,32.93,32.93,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../emma_17/index.html,
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,In Stock,1,cd2a2a70dd5d176d,55.53,55.53,0.0,0,http://books.toscrape.com/catalogue/category/books/classics_6/index.html/../../../../alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,
Sophie's World,Philosophy,In Stock,18,6be3beb0793a53e7,15.94,15.94,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../sophies-world_966/index.html,
The Death of Humanity: and the Case for Life,Philosophy,In Stock,16,bd261725b99f5983,58.11,58.11,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../the-death-of-humanity-and-the-case-for-life_932/index.html,
The Stranger,Philosophy,In Stock,15,f5a92cff83897d48,17.44,17.44,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../the-stranger_861/index.html,
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,In Stock,8,d56d0710668bb39c,54.21,54.21,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,
Kierkegaard: A Christian Missionary to Christians,Philosophy,In Stock,8,0cf57cb49272fd37,47.13,47.13,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../kierkegaard-a-christian-missionary-to-christians_527/index.html,
At The Existentialist Café: Freedom  Being  and apricot cocktails with: Jean-Paul Sartre  Simone de Beauvoir  Albert Camus  Martin Heidegger  Edmund Husserl  Karl Jaspers  Maurice Merleau-Ponty and others,Philosophy,In Stock,7,6b52904b2ab91bf6,29.93,29.93,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,
Critique of Pure Reason,Philosophy,In Stock,5,429b4a811bef386c,20.75,20.75,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../critique-of-pure-reason_366/index.html,
Run  Spot  Run: The Ethics of Keeping Pets,Philosophy,In Stock,2,b0e479be03911916,20.02,20.02,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../run-spot-run-the-ethics-of-keeping-pets_106/index.html,
The Nicomachean Ethics,Philosophy,In Stock,1,5c10b64db3e4f228,36.34,36.34,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../the-nicomachean-ethics_75/index.html,
Meditations,Philosophy,In Stock,1,4f19709e47883df5,25.89,25.89,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../meditations_33/index.html,
Beyond Good and Evil,Philosophy,In Stock,1,08672cd59171d5e4,43.38,43.38,0.0,0,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html/../../../../beyond-good-and-evil_6/index.html,
Chase Me (Paris Nights #2),Romance,In Stock,19,c2e46a2ee3b4a322,25.27,25.27,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../chase-me-paris-nights-2_977/index.html,
Black Dust,Romance,In Stock,19,00bfed9e18bb36f3,34.53,34.53,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../black-dust_976/index.html,
Her Backup Boyfriend (The Sorensen Family #1),Romance,In Stock,16,2a97cffe61c3c4c7,33.97,33.97,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../her-backup-boyfriend-the-sorensen-family-1_896/index.html,
First and First (Five Boroughs #3),Romance,In Stock,16,9e28048cea8d41f7,15.97,15.97,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../first-and-first-five-boroughs-3_893/index.html,
Fifty Shades Darker (Fifty Shades #2),Romance,In Stock,16,7add3f8e49ec0826,21.96,21.96,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../fifty-shades-darker-fifty-shades-2_892/index.html,
The Wedding Dress,Romance,In Stock,15,623e1a180426039b,24.12,24.12,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../the-wedding-dress_864/index.html,
Suddenly in Love (Lake Haven #1),Romance,In Stock,15,203b7f94b7d6115f,55.99,55.99,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../suddenly-in-love-lake-haven-1_835/index.html,
Something More Than This,Romance,In Stock,15,ca71e72655bece85,16.24,16.24,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../something-more-than-this_834/index.html,
Doing It Over (Most Likely To #1),Romance,In Stock,15,3a11bb962ff45b78,35.61,35.61,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../doing-it-over-most-likely-to-1_802/index.html,
The Wedding Pact (The O'Malleys #2),Romance,In Stock,14,c5cb9f885d8b3621,32.61,32.61,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../the-wedding-pact-the-omalleys-2_767/index.html,
Hold Your Breath (Search and Rescue #1),Romance,In Stock,14,0b165bd4b9f42fd5,28.82,28.82,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../hold-your-breath-search-and-rescue-1_700/index.html,
Dirty (Dive Bar #1),Romance,In Stock,12,df7e628bad5782b4,40.83,40.83,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../dirty-dive-bar-1_615/index.html,
Take Me Home Tonight (Rock Star Romance #3),Romance,In Stock,11,cf62fa272b5f0fa3,53.98,53.98,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../take-me-home-tonight-rock-star-romance-3_605/index.html,
Off the Hook (Fishing for Trouble #1),Romance,In Stock,11,b783ce08802cd1d1,47.67,47.67,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../off-the-hook-fishing-for-trouble-1_601/index.html,
A Gentleman's Position (Society of Gentlemen #3),Romance,In Stock,11,40c4bf520c17de54,14.75,14.75,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../a-gentlemans-position-society-of-gentlemen-3_584/index.html,
Sit  Stay  Love,Romance,In Stock,7,bd087cf6a846db75,20.9,20.9,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../sit-stay-love_486/index.html,
A Girl's Guide to Moving On (New Beginnings #2),Romance,In Stock,5,cf3b86489890b9f2,31.3,31.3,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../a-girls-guide-to-moving-on-new-beginnings-2_359/index.html,
The Perfect Play (Play by Play #1),Romance,In Stock,4,9cc207168a03470d,59.99,59.99,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../the-perfect-play-play-by-play-1_352/index.html,
Dark Lover (Black Dagger Brotherhood #1),Romance,In Stock,4,2b69d289279aabfd,12.87,12.87,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../dark-lover-black-dagger-brotherhood-1_319/index.html,
Changing the Game (Play by Play #2),Romance,In Stock,4,aaebac5fda798b1b,13.38,13.38,0.0,0,http://books.toscrape.com/catalogue/category/books/romance_8/index.html/../../../../changing-the-game-play-by-play-2_317/index.html,
